age,type,origin,rarity
5,2,6,1.97098
5,4,4,1.96584
5,4,5,1.96576
6,1,1,1.96486
6,2,6,1.96229
6,3,0,1.96229
6,0,6,1.96205
7,3,3,1.96179
7,1,4,1.96136
7,0,3,1.96088
7,0,1,1.96039
7,0,5,1.9595
7,3,0,1.95925
8,3,4,1.95749
8,1,1,1.95749
8,4,5,1.95726
8,2,1,1.95529
8,2,0,1.95508
9,2,5,1.955
9,0,5,1.95481
9,4,4,1.95438
9,3,3,1.95438
9,2,1,1.95438
10,3,3,1.95438
10,1,4,1.95425
10,2,0,1.95416
10,3,6,1.95389
11,2,2,1.95338
11,1,2,1.95319
11,3,1,1.95319
11,2,6,1.95319
11,3,0,1.9528
12,0,6,1.95272
12,3,0,1.95229
12,2,1,1.95229
12,0,3,1.9522
12,2,3,1.95213
13,0,6,1.95205
13,4,4,1.95205
13,4,0,1.95205
13,2,3,1.95202
13,3,2,1.95183
13,4,1,1.95183
14,3,3,1.95115
14,4,0,1.95055
14,4,6,1.95033
14,2,0,1.95014
14,3,5,1.94981
15,3,3,1.94958
15,0,2,1.94935
15,1,3,1.94918
16,3,1,1.94888
17,4,1,1.94888
17,4,3,1.94888
17,0,1,1.94879
18,2,5,1.94874
18,0,5,1.94872
18,1,3,1.94872
19,2,0,1.94814
20,3,3,1.9481
20,1,6,1.94808
20,0,2,1.94804
20,2,3,1.94784
20,4,2,1.94783
20,4,0,1.94782
21,2,0,1.94779
21,0,3,1.94779
21,2,6,1.94779
21,1,4,1.94774
21,1,2,1.94763
21,4,1,1.94751
22,4,5,1.94729
23,3,0,1.9472
23,3,4,1.94701
24,1,1,1.94679
24,1,3,1.94675
24,1,2,1.94675
24,4,6,1.94671
24,0,6,1.94642
24,4,5,1.94629
24,2,4,1.94606
24,2,3,1.94586
24,4,3,1.94585
24,1,5,1.94585
25,4,3,1.94565
25,2,4,1.94514
25,4,0,1.94479
25,2,5,1.94479
25,2,3,1.94468
25,0,1,1.94424
26,3,5,1.94424
26,4,4,1.94408
27,4,2,1.94398
27,2,4,1.94398
28,4,4,1.94389
28,2,2,1.94376
28,0,3,1.94367
29,3,0,1.94343
29,2,4,1.94333
29,1,1,1.94333
29,2,1,1.94325
