age,type,origin,rarity
5,4,1,0.939722
5,3,4,0.941326
5,2,5,0.942312
6,3,0,0.942363
6,3,2,0.94293
6,2,6,0.946268
7,3,3,0.947134
7,4,6,0.947659
7,0,1,0.948939
7,2,5,0.949569
7,2,2,0.951086
8,3,2,0.951338
8,0,1,0.952293
9,2,3,0.952336
9,0,3,0.952738
9,3,3,0.953185
9,0,5,0.953375
10,2,0,0.954054
10,2,6,0.95424
10,4,4,0.954518
10,3,6,0.955551
11,0,3,0.955621
11,3,0,0.95618
11,1,2,0.956295
12,2,6,0.956476
12,3,5,0.957181
12,3,6,0.957927
12,4,2,0.957937
12,1,0,0.958423
13,3,2,0.958423
13,0,5,0.958484
13,0,3,0.958563
13,0,0,0.958764
13,4,0,0.95889
13,3,3,0.958969
14,4,1,0.959246
14,4,5,0.959453
14,2,0,0.959688
14,4,6,0.960067
14,0,3,0.960078
14,0,1,0.960313
15,1,3,0.960423
15,2,2,0.960551
15,4,3,0.960626
16,2,2,0.960655
17,4,5,0.960761
17,1,1,0.960762
17,2,2,0.961332
17,2,6,0.961399
18,1,5,0.961792
18,4,6,0.961974
19,2,2,0.96199
19,1,3,0.962014
20,3,2,0.962166
20,2,6,0.962196
20,2,0,0.962303
20,4,0,0.962435
20,3,6,0.962568
20,0,5,0.962651
20,3,3,0.962677
21,3,3,0.962762
22,0,5,0.962923
22,3,1,0.962987
22,2,5,0.963022
22,0,2,0.963143
22,2,3,0.963219
22,3,2,0.963239
22,1,6,0.963272
23,0,5,0.963272
23,3,0,0.963308
23,1,1,0.963326
24,2,5,0.963326
24,3,3,0.963497
24,2,0,0.963614
24,0,6,0.963696
25,3,0,0.963741
25,2,4,0.963829
25,1,3,0.963883
25,1,0,0.963886
25,2,0,0.963887
25,2,6,0.963957
25,2,2,0.964048
26,2,1,0.964048
26,2,4,0.964073
27,1,6,0.964077
27,2,1,0.964077
27,3,6,0.964087
27,4,2,0.964172
27,1,5,0.964172
27,2,2,0.964282
27,4,5,0.964366
28,1,5,0.964461
28,3,6,0.964703
28,4,6,0.964703
29,2,0,0.964787
29,0,0,0.964798
29,2,1,0.9648
29,0,2,0.964927
29,2,3,0.964981
29,1,2,0.965127
30,3,1,0.965157
30,4,2,0.965157
30,0,0,0.965226
30,0,5,0.965362
30,4,4,0.965395
30,2,1,0.965412
31,3,1,0.965417
31,0,0,0.965523
31,2,5,0.965543
32,2,5,0.965645
32,4,5,0.965659
32,4,2,0.965681
33,4,3,0.965684
33,2,5,0.965733
33,4,2,0.965772
33,3,0,0.965799
33,4,0,0.965813
34,0,1,0.965821
34,4,0,0.965821
34,1,1,0.965821
35,1,6,0.965821
35,1,3,0.965872
35,0,3,0.965891
35,2,2,0.966023
36,4,6,0.966089
36,3,3,0.966092
37,2,5,0.966106
37,1,6,0.966106
37,1,0,0.966126
38,3,3,0.96614
38,2,0,0.96614
38,0,5,0.966195
38,2,3,0.96632
38,3,5,0.966332
38,4,0,0.966332
38,2,5,0.966332
