age,type,origin,rarity
6,2,3,1.96557
6,0,4,1.964
6,3,3,1.96348
7,3,5,1.95859
7,1,3,1.95821
8,4,3,1.95815
8,2,2,1.95709
9,0,1,1.95708
9,3,1,1.95692
10,2,1,1.95592
10,4,3,1.95535
10,3,2,1.95485
10,1,4,1.95382
11,3,0,1.95257
11,1,4,1.95197
12,0,2,1.95186
12,4,2,1.95164
12,2,4,1.95086
12,1,2,1.95086
13,2,6,1.95042
13,4,5,1.95031
13,0,0,1.94949
14,4,6,1.94896
15,4,4,1.94893
15,4,0,1.94819
15,2,6,1.94811
15,0,2,1.94709
16,3,0,1.94697
16,4,2,1.94639
16,4,5,1.94586
16,3,6,1.94576
17,3,4,1.94569
17,3,5,1.94515
17,2,5,1.94509
17,3,6,1.94509
18,1,3,1.94466
18,3,6,1.9446
18,2,6,1.94457
18,1,4,1.94455
18,0,4,1.94455
18,0,2,1.9435
19,3,4,1.94277
19,3,2,1.94263
19,3,1,1.94216
19,2,2,1.94059
19,4,0,1.94059
19,4,1,1.94048
19,0,0,1.94048
20,0,2,1.94048
20,4,5,1.94033
20,0,3,1.94033
21,3,4,1.94026
22,4,4,1.94026
22,2,5,1.94024
22,4,6,1.93988
22,2,0,1.93951
22,4,3,1.93929
23,2,2,1.93923
23,3,3,1.93875
24,2,2,1.93833
24,0,2,1.93833
24,3,6,1.93757
24,0,1,1.93757
25,0,3,1.93715
26,3,4,1.93711
26,0,6,1.9368
26,2,6,1.93603
26,3,3,1.93588
26,1,0,1.93561
26,1,4,1.93561
26,1,5,1.93547
26,2,0,1.93519
27,2,6,1.93491
27,4,0,1.9349
27,1,3,1.9349
27,0,1,1.93461
27,2,2,1.93443
28,0,2,1.93437
29,1,2,1.93429
29,3,4,1.93408
29,0,0,1.93408
30,1,2,1.9338
30,4,3,1.93373
30,3,3,1.93351
31,4,3,1.93351
31,3,4,1.93348
32,0,6,1.93296
32,4,6,1.93267
32,2,6,1.93267
32,1,1,1.93256
32,0,2,1.93252
32,2,4,1.93199
33,4,3,1.93164
33,1,3,1.93164
33,3,1,1.93117
33,0,4,1.93096
33,2,4,1.93085
33,1,4,1.93085
33,2,0,1.93065
33,3,4,1.93051
33,4,6,1.93048
34,0,0,1.9304
34,1,2,1.93033
35,2,3,1.93031
35,0,6,1.93031
35,1,1,1.93031
35,3,3,1.93016
36,4,2,1.92974
36,3,1,1.92966
36,1,6,1.92935
36,2,0,1.92935
36,1,1,1.92935
37,2,0,1.92928
37,3,4,1.9291
39,1,4,1.92903
39,1,2,1.92877
39,2,0,1.92877
40,4,3,1.92862
40,4,2,1.92862
40,0,2,1.92855
40,1,0,1.92855
41,4,6,1.92843
42,3,2,1.92792
42,3,1,1.92786
42,4,2,1.92752
43,4,1,1.92745
43,1,4,1.92745
43,0,1,1.92722
43,0,3,1.92722
43,1,5,1.92713
44,3,2,1.92684
44,0,6,1.92668
44,2,0,1.92668
44,0,2,1.92668
44,0,5,1.92663
44,3,3,1.92643
45,2,3,1.92623
46,1,6,1.92604
46,2,1,1.92598
46,2,0,1.92582
46,4,0,1.9255
46,0,5,1.92548
47,4,6,1.92547
47,2,2,1.92546
47,3,4,1.92537
48,2,0,1.92537
48,0,1,1.92537
48,4,6,1.92504
49,1,4,1.92479
49,4,5,1.92475
49,1,3,1.92471
49,0,1,1.92458
49,3,2,1.92449
49,0,6,1.92449
49,3,4,1.92448
49,4,0,1.92433
50,2,1,1.92426
50,0,4,1.92418
50,1,0,1.92402
51,3,0,1.92386
51,2,2,1.92375
51,1,0,1.92359
51,0,4,1.92358
51,3,3,1.92357
52,4,5,1.92354
53,3,3,1.92336
53,4,1,1.92309
53,1,6,1.92299
55,0,4,1.92243
55,4,5,1.92211
55,0,5,1.92172
55,3,6,1.92172
56,2,3,1.9215
56,4,2,1.92144
56,0,3,1.92123
56,0,5,1.92106
57,3,6,1.92105
57,0,4,1.92105
57,1,3,1.92055
58,1,5,1.92052
58,4,5,1.92052
58,2,4,1.9205
58,0,4,1.92049
58,3,1,1.92017
59,0,0,1.91994
59,3,6,1.91983
59,2,4,1.91951
60,3,4,1.91948
60,0,2,1.91941
60,1,1,1.91913
60,1,2,1.91913
60,4,6,1.91857
61,4,4,1.91849
61,2,1,1.91782
61,1,0,1.91763
61,2,0,1.91762
61,0,4,1.91755
61,3,4,1.91755
62,4,5,1.91742
62,0,3,1.91715
62,2,5,1.91701
62,1,1,1.91694
63,3,5,1.91686
63,1,4,1.91653
63,3,3,1.91651
63,2,6,1.91644
64,2,1,1.91643
64,1,3,1.91638
64,1,4,1.91637
65,3,0,1.91629
65,1,2,1.91621
65,2,6,1.91618
65,0,6,1.91593
66,4,3,1.91593
66,1,2,1.91593
66,0,1,1.91588
66,4,2,1.91571
66,1,1,1.91552
67,3,3,1.91546
67,3,6,1.9154
67,4,3,1.91539
67,4,1,1.91539
67,3,2,1.91503
67,4,2,1.91489
68,4,0,1.91485
68,2,5,1.91483
68,1,2,1.91478
69,1,5,1.91478
69,1,3,1.91477
69,1,6,1.91467
69,0,0,1.91463
69,1,2,1.91446
69,0,6,1.91443
69,3,0,1.91439
70,0,6,1.91427
70,3,5,1.91405
71,1,6,1.91379
71,2,2,1.91379
72,4,1,1.91354
72,3,0,1.91348
73,0,3,1.91348
74,1,0,1.91348
74,3,4,1.91331
74,3,3,1.91319
74,0,4,1.91319
74,0,3,1.91304
74,4,0,1.91304
74,2,4,1.91304
75,3,4,1.91302
76,3,2,1.91302
76,3,6,1.91269
76,3,5,1.91268
77,0,0,1.9126
77,2,3,1.91247
78,4,4,1.91244
78,0,5,1.91233
78,4,6,1.9122
80,0,1,1.9122
80,2,3,1.91218
80,4,4,1.91218
80,0,2,1.91215
81,0,6,1.91215
81,4,6,1.9118
81,2,1,1.91172
81,0,0,1.91167
82,0,3,1.91165
82,4,0,1.91156
83,2,4,1.91146
83,4,2,1.9113
83,3,0,1.9113
83,1,2,1.91119
84,2,1,1.9111
84,3,4,1.91097
84,1,6,1.91097
85,4,5,1.91079
85,4,0,1.91078
85,4,3,1.91035
85,2,3,1.91035
85,0,6,1.91013
85,0,2,1.91013
86,1,0,1.91008
86,0,1,1.90978
86,0,0,1.90978
86,1,6,1.90975
86,3,3,1.90939
86,0,4,1.90927
87,4,5,1.90925
87,3,6,1.90907
87,1,0,1.90897
87,2,0,1.90893
87,0,3,1.90893
88,2,5,1.90875
88,1,4,1.90869
88,4,0,1.90852
89,2,2,1.90846
89,3,6,1.90841
90,1,0,1.90825
90,1,6,1.90799
91,4,5,1.90799
91,1,2,1.90796
91,0,0,1.90796
91,1,1,1.90778
92,1,5,1.90778
92,2,2,1.90778
92,3,2,1.90767
92,4,1,1.90767
92,0,0,1.90747
92,3,5,1.90735
92,1,1,1.9072
93,3,3,1.90715
94,4,0,1.90709
94,4,4,1.90703
94,2,1,1.9066
94,0,3,1.90658
94,1,0,1.90658
94,3,3,1.90658
94,1,2,1.90656
94,3,2,1.9065
95,0,5,1.90641
95,2,3,1.90639
95,2,4,1.90637
95,2,0,1.90637
96,0,5,1.90633
96,1,1,1.90633
96,3,3,1.9063
97,3,2,1.9063
97,3,5,1.90627
97,1,0,1.90627
97,0,2,1.90617
97,1,1,1.90616
97,3,0,1.90613
97,1,4,1.90599
97,2,3,1.90589
98,1,0,1.90587
98,1,2,1.90587
99,2,5,1.90577
100,2,6,1.90569
101,2,6,1.90564
101,4,5,1.90563
102,0,3,1.90507
102,4,0,1.90506
103,4,1,1.90495
103,3,2,1.90495
103,3,0,1.90495
104,1,5,1.90471
104,4,0,1.90465
104,0,2,1.90465
105,4,3,1.90453
105,1,6,1.90435
106,0,4,1.90419
107,1,5,1.90419
