age,type,origin,rarity
5,1,6,1.9727
5,4,1,1.9717
5,3,4,1.96914
5,2,5,1.96717
6,3,0,1.96638
6,3,2,1.96538
6,2,6,1.9653
7,3,3,1.96399
7,4,6,1.96359
7,0,1,1.96215
7,2,5,1.96214
7,2,2,1.96122
8,3,2,1.96122
8,0,1,1.96071
9,2,3,1.96068
9,0,3,1.96002
9,3,3,1.95921
9,0,5,1.95896
10,2,0,1.95876
10,2,6,1.95836
10,4,4,1.95826
10,3,6,1.95815
11,0,3,1.9579
11,3,0,1.95735
11,1,2,1.95712
12,2,6,1.95699
12,3,5,1.95691
12,3,6,1.95679
12,4,2,1.95671
12,1,0,1.95649
13,3,2,1.95649
13,0,5,1.95639
13,0,3,1.95633
13,0,0,1.95622
13,4,0,1.95622
13,3,3,1.95598
14,4,1,1.9559
14,4,5,1.95588
14,2,0,1.95564
14,4,6,1.95562
14,0,3,1.95552
14,0,1,1.95552
15,1,3,1.95526
15,2,2,1.95505
15,4,3,1.95441
16,2,2,1.95427
17,4,5,1.95411
17,1,1,1.95373
17,2,2,1.95361
17,2,6,1.95357
18,1,5,1.95328
18,4,6,1.95283
19,2,2,1.95278
19,1,3,1.95272
20,3,2,1.95266
20,2,6,1.95234
20,2,0,1.95226
20,4,0,1.95226
20,3,6,1.95223
20,0,5,1.95221
20,3,3,1.95219
21,3,3,1.95208
22,0,5,1.95207
22,3,1,1.95164
22,2,5,1.95162
22,0,2,1.95113
22,2,3,1.95111
22,3,2,1.95108
22,1,6,1.95102
23,0,5,1.95089
23,3,0,1.95079
23,1,1,1.95079
24,2,5,1.95066
24,3,3,1.95066
24,2,0,1.95046
24,0,6,1.95043
25,3,0,1.95036
25,2,4,1.95028
25,1,3,1.95009
25,1,0,1.95005
25,2,0,1.95004
25,2,6,1.94992
25,2,2,1.94992
26,2,1,1.94988
26,2,4,1.94967
27,1,6,1.94965
27,2,1,1.94962
27,3,6,1.9496
27,4,2,1.94959
27,1,5,1.94955
27,2,2,1.94954
27,4,5,1.94951
28,1,5,1.94945
28,3,6,1.94945
28,4,6,1.94942
29,2,0,1.94942
29,0,0,1.94899
29,2,1,1.94886
29,0,2,1.94886
29,2,3,1.9488
29,1,2,1.94861
30,3,1,1.9486
30,4,2,1.94844
30,0,0,1.94843
30,0,5,1.9484
30,4,4,1.9484
30,2,1,1.94836
31,3,1,1.94831
31,0,0,1.94831
31,2,5,1.94831
32,2,5,1.94831
32,4,5,1.94828
